,CodeGraph,TreeGraph,Prec,Recall,F1
0,CodeBERT,deepwalk_cg,0.15360963885075646,0.6795093795093795,0.24083510890544355
1,CodeBERT,grarep_cg,0.2803787878787879,0.3832936507936508,0.3162980878770353
2,CodeBERT,line_cg,0.08333333333333333,0.019090909090909092,0.03076923076923077
3,CodeBERT,node2vec_cg,0.16035576085019915,0.7095093795093794,0.25121415747608744
4,CodeBERT,prone_cg,0.24333333333333335,0.18826839826839828,0.19207678286625657
5,CodeBERT,sdne_cg,0.2155356193514088,0.4395920745920746,0.2665353752054519
6,CodeBERT,walklets_cg,0.18330309396485867,0.42551587301587307,0.25159798663853394
7,CodeGPT,deepwalk_cg,0.15989549711907286,0.6381962481962482,0.2429261661291325
8,CodeGPT,grarep_cg,0.37071428571428566,0.3402380952380953,0.33774558774558777
9,CodeGPT,line_cg,0.12777777777777777,0.11540404040404043,0.11702204228520019
10,CodeGPT,node2vec_cg,0.16149959111353415,0.7095093795093794,0.25159438706497533
11,CodeGPT,prone_cg,0.30984126984126986,0.30826839826839825,0.26852339181286544
12,CodeGPT,sdne_cg,0.23785714285714282,0.3586829836829837,0.2634921975169653
13,CodeGPT,walklets_cg,0.16091326439522696,0.44480158730158725,0.23336082140835962
14,CodeT5,deepwalk_cg,0.17772939639747787,0.6824386724386725,0.2651659536772967
15,CodeT5,grarep_cg,0.38095238095238093,0.2916269841269842,0.3114907314907316
16,CodeT5,line_cg,0.05,0.01,0.01666666666666667
17,CodeT5,node2vec_cg,0.1655647420258426,0.5124386724386725,0.21110319595613708
18,CodeT5,prone_cg,0.31666666666666665,0.12786435786435785,0.17576839826839827
19,CodeT5,sdne_cg,0.1610008020302138,0.4023251748251749,0.22071974830988114
20,CodeT5,walklets_cg,0.1637516386486638,0.42551587301587307,0.23426862957410183
21,CoTexT,deepwalk_cg,0.17422014642029632,0.6804184704184706,0.26136019317313164
22,CoTexT,grarep_cg,0.4265079365079365,0.3402380952380953,0.3468337218337218
23,CoTexT,line_cg,0.08499999999999999,0.03838383838383838,0.05288461538461538
24,CoTexT,node2vec_cg,0.3468253968253968,0.4047763347763348,0.3085225885225885
25,CoTexT,prone_cg,0.17698412698412697,0.13357864357864355,0.14875359934183463
26,CoTexT,sdne_cg,0.18858263305322132,0.4516083916083916,0.255838069976001
27,CoTexT,walklets_cg,0.1956429110105581,0.46718253968253964,0.2704260298443857
28,GraphCodeBERT,deepwalk_cg,0.17759256405118956,0.6704184704184705,0.26497946820709395
29,GraphCodeBERT,grarep_cg,0.306046176046176,0.3703968253968254,0.3107532818059134
30,GraphCodeBERT,line_cg,0.11666666666666665,0.05,0.06363022941970312
31,GraphCodeBERT,node2vec_cg,0.16179377522190616,0.7195093795093794,0.25405316480966966
32,GraphCodeBERT,prone_cg,0.17119047619047617,0.12695526695526693,0.13210526315789473
33,GraphCodeBERT,sdne_cg,0.18682843472317157,0.31625874125874126,0.22069157043581597
34,GraphCodeBERT,walklets_cg,0.18154112846218112,0.4833730158730159,0.25731784784416367
35,PLBART,deepwalk_cg,0.13938727858293073,0.49617604617604616,0.201998556998557
36,PLBART,grarep_cg,0.32567460317460317,0.30773809523809526,0.2984107559107559
37,PLBART,line_cg,0.11666666666666665,0.039090909090909086,0.05791855203619909
38,PLBART,node2vec_cg,0.18017730208722676,0.5157720057720059,0.2430063148420146
39,PLBART,prone_cg,0.2794047619047618,0.20251082251082253,0.22438141923436042
40,PLBART,sdne_cg,0.23724358974358975,0.3370920745920746,0.2607231273236119
41,PLBART,walklets_cg,0.14734524734524734,0.4394047619047619,0.21319533470956617
